year,month,title,author,rank,review
2019,10,A LONG WALK TO WATER,by Linda Sue Park,1.0,
2019,10,THE ONE AND ONLY IVAN,by Katherine Applegate. Illustrated by Patricia Castelao,2.0,
2019,10,THE GIRL WHO DRANK THE MOON,by Kelly Barnhill,3.0,https://www.nytimes.com/2016/10/09/books/review/girl-who-drank-the-moon-kelly-barnhill.html
2019,10,OUT OF MY MIND,by Sharon M. Draper,4.0,
2019,10,THE UNTEACHABLES,by Gordon Korman,5.0,
2019,10,I AM MALALA,by Malala Yousafzai with Patricia McCormick,6.0,
2019,10,PAX,Sara Pennypacker. Illustrated by Jon Klassen,7.0,
2019,10,RESTART,by Gordon Korman,8.0,
2019,10,INSIDE OUT AND BACK AGAIN,by Thanhha Lai,9.0,
2019,10,NEVERMOOR: THE TRIALS OF MORRIGAN CROW,by Jessica Townsend,10.0,
2019,11,A LONG WALK TO WATER,by Linda Sue Park,1.0,
2019,11,THE ONE AND ONLY IVAN,by Katherine Applegate. Illustrated by Patricia Castelao,2.0,
2019,11,THE GIRL WHO DRANK THE MOON,by Kelly Barnhill,3.0,https://www.nytimes.com/2016/10/09/books/review/girl-who-drank-the-moon-kelly-barnhill.html
2019,11,OUT OF MY MIND,by Sharon M. Draper,4.0,
2019,11,THE UNTEACHABLES,by Gordon Korman,5.0,
2019,11,I AM MALALA,by Malala Yousafzai with Patricia McCormick,6.0,
2019,11,PAX,Sara Pennypacker. Illustrated by Jon Klassen,7.0,
2019,11,RESTART,by Gordon Korman,8.0,
2019,11,INSIDE OUT AND BACK AGAIN,by Thanhha Lai,9.0,
2019,11,NEVERMOOR: THE TRIALS OF MORRIGAN CROW,by Jessica Townsend,10.0,
2019,12,A LONG WALK TO WATER,by Linda Sue Park,1.0,
2019,12,THE ONE AND ONLY IVAN,by Katherine Applegate. Illustrated by Patricia Castelao,2.0,
2019,12,THE GIRL WHO DRANK THE MOON,by Kelly Barnhill,3.0,https://www.nytimes.com/2016/10/09/books/review/girl-who-drank-the-moon-kelly-barnhill.html
2019,12,OUT OF MY MIND,by Sharon M. Draper,4.0,
2019,12,THE UNTEACHABLES,by Gordon Korman,5.0,
2019,12,I AM MALALA,by Malala Yousafzai with Patricia McCormick,6.0,
2019,12,PAX,Sara Pennypacker. Illustrated by Jon Klassen,7.0,
2019,12,RESTART,by Gordon Korman,8.0,
2019,12,INSIDE OUT AND BACK AGAIN,by Thanhha Lai,9.0,
2019,12,NEVERMOOR: THE TRIALS OF MORRIGAN CROW,by Jessica Townsend,10.0,
2020,01,A LONG WALK TO WATER,by Linda Sue Park,1.0,
2020,01,THE ONE AND ONLY IVAN,by Katherine Applegate. Illustrated by Patricia Castelao,2.0,
2020,01,THE GIRL WHO DRANK THE MOON,by Kelly Barnhill,3.0,https://www.nytimes.com/2016/10/09/books/review/girl-who-drank-the-moon-kelly-barnhill.html
2020,01,OUT OF MY MIND,by Sharon M. Draper,4.0,
2020,01,THE UNTEACHABLES,by Gordon Korman,5.0,
2020,01,I AM MALALA,by Malala Yousafzai with Patricia McCormick,6.0,
2020,01,PAX,Sara Pennypacker. Illustrated by Jon Klassen,7.0,
2020,01,RESTART,by Gordon Korman,8.0,
2020,01,INSIDE OUT AND BACK AGAIN,by Thanhha Lai,9.0,
2020,01,NEVERMOOR: THE TRIALS OF MORRIGAN CROW,by Jessica Townsend,10.0,
2020,02,A LONG WALK TO WATER,by Linda Sue Park,1.0,
2020,02,THE ONE AND ONLY IVAN,by Katherine Applegate. Illustrated by Patricia Castelao,2.0,
2020,02,THE GIRL WHO DRANK THE MOON,by Kelly Barnhill,3.0,https://www.nytimes.com/2016/10/09/books/review/girl-who-drank-the-moon-kelly-barnhill.html
2020,02,OUT OF MY MIND,by Sharon M. Draper,4.0,
2020,02,THE UNTEACHABLES,by Gordon Korman,5.0,
2020,02,I AM MALALA,by Malala Yousafzai with Patricia McCormick,6.0,
2020,02,PAX,Sara Pennypacker. Illustrated by Jon Klassen,7.0,
2020,02,RESTART,by Gordon Korman,8.0,
2020,02,INSIDE OUT AND BACK AGAIN,by Thanhha Lai,9.0,
2020,02,NEVERMOOR: THE TRIALS OF MORRIGAN CROW,by Jessica Townsend,10.0,
